full_name,season,champion,top_10,made_cut,total_score,prior_score,prior_afs,sg_on_field,roll_5yr_majors,roll_3yr_majors,roll_1yr_majors,rolling_majors,driving_distance,driving_accuracy,greens_in_regulation,bob_distance,scrambling_rough,scrambling_sand,putting_rating,scoring_avg,sg_off_tee,sg_approach,sg_scrambling,sg_putting,sg_tee_to_green,sg_total
brett_quigley,2006,0,0,1,306,315,302,-13,0,0,0,0.0,289.6,0.5885,0.6783,19.57958801064687,0.5266,0.5345,1.6219999999999999,70.025,0.025,0.3720000000000001,0.209,0.642,0.606,1.248
brett_wetterich,2006,0,0,1,302,315,302,-13,0,0,0,0.0,307.8,0.6146,0.6781999999999999,19.680776859102327,0.4633,0.5,1.6280000000000001,70.725,0.8009999999999999,0.079,-0.092,-0.161,0.789,0.628
brett_wetterich,2007,0,0,0,315,302,305,3,0,0,0,0.0,303.3,0.5815,0.6628000000000001,18.88407480524264,0.4402,0.4783,1.68,70.902,0.6709999999999999,0.205,-0.21,-0.5329999999999999,0.667,0.134
brian_bateman,2007,0,0,1,291,315,305,-10,0,0,0,0.0,291.6,0.5874,0.6133,19.334197681827924,0.531,0.46299999999999997,1.5019999999999998,71.657,-0.284,-0.121,-0.255,-0.079,-0.66,-0.7390000000000001
brian_gay,2009,0,0,0,315,315,299,-16,0,0,0,0.0,268.5,0.7223999999999999,0.6244,17.947554150914264,0.6970999999999999,0.5952000000000001,1.4969999999999999,70.4,-0.322,-0.032,0.259,0.726,-0.095,0.632
brian_gay,2012,0,0,1,292,315,297,-18,0,0,0,0.0,277.7,0.621,0.6271,18.5070256929632,0.604,0.6581,1.5630000000000002,70.767,-0.364,-0.486,0.293,0.7040000000000001,-0.556,0.14800000000000002
brian_harman,2014,0,0,0,315,315,304,-11,0,0,0,0.0,289.0,0.6096,0.6426000000000001,18.16834388282114,0.5523,0.5702,1.5919999999999999,70.391,-0.013999999999999999,0.29600000000000004,0.121,0.113,0.40299999999999997,0.515
brian_harman,2017,0,0,1,292,315,299,-16,0,0,0,0.0,289.9,0.628,0.6378,20.35181871479795,0.601,0.6315999999999999,1.574,70.402,0.015,-0.198,0.32899999999999996,0.6,0.146,0.746
brian_stuard,2016,0,0,1,294,315,304,-11,0,0,0,0.0,277.7,0.7106999999999999,0.633,17.801996142755076,0.5722999999999999,0.6,1.598,71.242,-0.1,-0.11,0.14,-0.022000000000000002,-0.07,-0.09300000000000001
briny_baird,2008,0,0,0,315,315,302,-13,0,0,0,0.0,285.2,0.6603,0.7,16.833541665377492,0.605,0.5877,1.5419999999999998,70.187,0.20800000000000002,0.65,0.073,-0.231,0.9309999999999999,0.7
brooks_koepka,2014,0,0,1,288,315,304,-11,0,0,0,0.0,307.0,0.5690999999999999,0.6498,19.433610060922803,0.4479,0.5625,1.608,70.05199999999999,0.425,0.598,-0.226,0.162,0.797,0.958
brooks_koepka,2015,0,0,1,293,288,295,7,0,0,0,0.0,308.2,0.5733,0.6948000000000001,19.57202975194732,0.609,0.4932,1.617,69.861,0.40700000000000003,0.2,0.052000000000000005,0.42100000000000004,0.66,1.081
brooks_koepka,2016,0,0,1,287,293,304,11,0,0,0,0.0,302.6,0.586,0.6698000000000001,20.496379084012762,0.4803,0.5068,1.601,69.956,0.542,0.139,-0.033,0.445,0.648,1.092
brooks_koepka,2018,0,1,1,276,287,295,8,3,3,2,38.0,313.4,0.5685,0.6828,20.5707370026777,0.5690999999999999,0.6607,1.598,69.444,0.6579999999999999,0.23199999999999998,0.162,0.168,1.052,1.22
brooks_koepka,2019,0,0,0,315,276,295,19,4,4,1,34.0,309.0,0.6183,0.6997,20.04043741898975,0.5859000000000001,0.5814,1.604,69.395,0.46799999999999997,0.636,0.036000000000000004,0.226,1.14,1.3659999999999999
